"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Story City Wind","Story City Wind","Community Wind","Hamilton Wind Energy LLC","Clark Thompson","Story City Municipal Electric Utility","Story City IA","1.5 MW",1,2011,Goldwind,"In Service","42.1867°, -93.5614°"
"Story County Hospital Wind Farm","Story County Hospital","Community Wind","Story County Hospital","Story County Hospital","Alliant/IES Utilities","NV - Story County IA","0.23 MW",1,1993,Vestas,"In Service","42.0169°, -93.4533°"
"Story County Wind Farm","Story County","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Story and Hardin Counties IA","150 MW",100,2008,"GE Energy","In Service","42.3014°, -93.4517°"
"Story County Wind Project II","Story County Wind Project II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Story & Hardin Counties IA","150 MW",100,2009,"GE Energy","In Service","42.3014°, -93.4517°"
"Streator Cayuga Ridge Wind Farm","Streator Cayuga Ridge Wind Farm","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",TVA,"Livingston County IL","300 MW",150,2010,Gamesa,"In Service","40.9553°, -88.4281°"
"Stuart Municipal Utilities Wind Farm","Stuart Municipal Utilities","Commercial Scale Wind","Stuart Municipal Utilities","Stuart Municipal Utilities","Stuart Municipal Utilities","Stuart IA","0.66 MW",1,2005,Vestas,"In Service","41.4939°, -94.3275°"
"Summerside Wind Farm",,"Community Wind","City of Summerside",,,,"3 MW",4,2009,Vestas,"In Service","46.4347°, -63.8000°"
Sunflower,Sunflower,,,,,"Stark County, ND","104 MW",52,2016,Vestas,,"46.8319°, -102.1067°"
"Sunray I Wind Farm","Sunray I","Commercial Scale Wind",Valero,Valero,"McKee Refinery for 34.5; Xcel Energy for remainder",TX,"9 MW",6,2009,"GE Energy","In Service","35.9611°, -101.8047°"
"Sunray II Wind Farm","Sunray II","Commercial Scale Wind",Valero,Valero,"McKee Refinery for 34.5; Xcel Energy for remainder",TX,"40.5 MW",27,2009,"GE Energy","In Service","35.9611°, -101.8047°"
"Superior Farms","Superior Farms","Community Wind","Foundation Windpower","Foundation Windpower","Superior Farms","Dixon CA","1 MW",1,2012,Mitsubishi,"In Service","38.4200°, -121.8175°"
"Surf City","Surf City","Offshore Wind","Pavilion Energy Resources / Zero Carbon Wind Energy Corp","Pavilion Energy Resources / Zero Carbon Wind Energy Corp",,"Atlantic Ocean NJ","1100 MW",55,,Sterling,Proposed,"39.3800°, -73.5081°"
"Sustainable Technologies Museum Wind Farm","Sustainable Technologies Museum","Commercial Scale Wind","GSG 3 LLC","FPC/GSG Wind",ComEd,IL,"2.5 MW",1,2007,Clipper,"In Service","40.6331°, -89.3986°"
"Suzlon Project VII","Suzlon Project VII","Commercial Scale Wind","Suzlon Energy Company","Suzlon Energy Company","QF on SPP","Dumas TX","4.2 MW",2,2011,"Suzlon Energy Company","In Service","35.8511°, -101.9775°"
"Swauk Valley","Swauk Valley","Commercial Scale Wind",McKinstry,McKinstry,,"Ellensburg WA","4.25 MW",5,2012,Gamesa,"In Service","47.1417°, -120.7544°"
Sweetwater,Sweetwater,"Commercial Scale Wind","Babcock & Brown/Catamount","DKRW/Babcock & Brown","TXU Electric & Gas","Sweetwater TX","37.5 MW",25,2003,"GE Energy","In Service","32.3681°, -100.3336°"
"Sweetwater 4a","Sweetwater #4a","Commercial Scale Wind",,"Babcock & Brown/Catamount Energy","City of San Antonio Texas (Utility Company)","Sweetwater TX","135 MW",135,2007,Mitsubishi,"In Service","32.3681°, -100.3336°"
"Sweetwater 4b","Sweetwater #4b","Commercial Scale Wind",,"Babcock & Brown/Catamount Energy","City of San Antonio Texas (Utility Company)","Sweetwater TX","105.8 MW",46,2007,Siemens,"In Service","32.3681°, -100.3336°"
"Sweetwater 5 Wind Farm","Sweetwater 5","Commercial Scale Wind","Babcock & Brown/Catamount Energy","Babcock & Brown/Catamount Energy",Market,"Sweetwater TX","80.5 MW",35,2007,Siemens,"In Service","32.3681°, -100.3336°"
"Sweetwater Phase II Wind Farm","Sweetwater Phase II","Commercial Scale Wind","Babcock & Brown/Catamount","DKRW/Babcock & Brown/Catamount","Austin Energy","Sweetwater TX","91.5 MW",61,2005,"GE Energy","In Service","32.3681°, -100.3336°"
"Sweetwater Phase III Wind Farm","Sweetwater Phase III","Commercial Scale Wind","Babcock & Brown/Catamount","DKRW/Babcock & Brown/Catamount","CPS Energy/Austin Energy","Sweetwater TX","135 MW",90,2005,"GE Energy","In Service","32.3681°, -100.3336°"
"TJ Automation","TJ Automation","Definition:Small Scale Wind","TJ Automation",,"TJ Automation","Archbold OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.4583°, -84.3067°"
"Taconite Ridge Wind Farm","Taconite Ridge","Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","St. Louis County MN","25 MW",10,2008,Clipper,"In Service","47.5728°, -92.6008°"
"Talbot County DPW","Talbot County DPW","Community Wind","Talbot County DPW",,"Talbot County DPW","Easton MD","0.3 MW",3,2010,Clipper,"In Service","38.8183°, -76.0331°"
"Taloga Wind Farm","Taloga Wind Farm","Commercial Scale Wind","Edison Mission Energy","Edison Mission Group","Oklahoma Gas & Electric","North of Taloga OK","129.6 MW",54,2012,Mitsubishi,"In Service","36.0892°, -98.9797°"
"Tatanka Wind Project I","Tatanka Wind Project","Commercial Scale Wind","Acciona Energy","Acciona Energy",,"McPherson County SD","88.5 MW",59,2008,Acciona,"In Service","45.9392°, -98.9439°"
"Tatanka Wind Project II","Tatanka Wind Project","Commercial Scale Wind","Acciona Energy","Acciona Energy",,"Dickey and McIntosh Counties ND","91.5 MW",61,2008,Acciona,"In Service","45.9519°, -98.9406°"
"Taylor Farms","Taylor Farms",,,,,"Monterey County, CA","1.85 MW",1,2014,"GE Wind",,"36.5053°, -121.4517°"
"Tehachapi Hills","Tehachapi Hills",,,,,"Kern County, CA","20.88 MW",232,1985,Vestas,,"35.1017°, -118.3392°"
"Tehachapi Hills (85A)","Tehachapi Hills (85A)",,,,,"Kern County, CA","14.58 MW",162,1985,Vestas,,"35.1028°, -118.3369°"
"Tehachapi Hills (85B)","Tehachapi Hills (85B)",,,,,"Kern County, CA","20.88 MW",232,1985,Vestas,,"35.1053°, -118.3311°"
"Tehachapi Windplant I","Tehachapi Windplant I",,,,,"Kern County, CA","8.71 MW",134,1984,Nordtank,,"35.0575°, -118.3847°"
"Tehachapi Windplant II","Tehachapi Windplant II",,,,,"Kern County, CA","8.45 MW",13,1997,Vestas,,"35.1186°, -118.2939°"
"Teichert Aggregates","Teichert Aggregates","Community Wind","Teichert Aggregates","Foundation Windpower","Teichert Aggregates","South of Tracy CA","1.5 MW",1,2010,"GE Energy","In Service","37.6161°, -121.3561°"
"Templeton Wind Turbine","Templeton Wind Turbine",,,,,"Worcester County, MA","1.5 MW",1,2010,AAER,,"42.5892°, -72.0778°"
"Testa Produce","Testa Produce","Community Wind","Testa Produce","Testa Produce","Testa Produce","Chicago IL","0.75 MW",1,2011,Aeronautica,"In Service","41.8106°, -87.6544°"
"Texas Offshore Pilot Research Project","Texas Offshore Pilot Research Project","Offshore Wind","Baryonyx Corporation","Baryonyx Corporation",,"Gulf of Mexico TX","25 MW",5,,,Proposed,"26.1861°, -97.0769°"
"Texas State Technical College Wind Farm","Texas State Technical College","Community Wind","Texas State Technical College","Texas State Technical College","Texas State Technical College","Sweetwater TX","2 MW",1,2008,DeWind,"In Service","32.4708°, -100.4058°"
"Texas Tech - Lubbock","Texas Tech - Lubbock",,,,,"Lubbock County, TX","3.67 MW",2,2010,ECO,,"33.5964°, -102.0514°"
"The City of Union City","The City of Union City","Community Wind","Performance Services",,"AEP - Indiana Michigan Power","Union City IL","1 MW",1,2010,Nordic,"In Service","40.1933°, -84.8111°"
"Tholen & Petersen Wind Farm","Tholen & Petersen","Commercial Scale Wind",,"Tholen & Petersen","Xcel Energy","Tracy MN","13.2 MW",8,2005,Vestas,"In Service","44.2389°, -95.6169°"
"Thousand Springs Wind Park","Thousand Springs Wind Park","Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Twin Falls County ID","12 MW",8,2011,"GE Energy","In Service","42.7453°, -114.8281°"
"Three D Metals Wind Turbine","Three D Metals Wind Turbine","Definition:Small Scale Wind","Three D Metals",,"Three D Metals","Valley City OH","0.1 MW",1,2009,"Northern Power Systems","In Service","41.2481°, -81.8831°"
"Three Mile Canyon","Three Mile Canyon","Commercial Scale Wind","John Deere Wind","Momentum RE",PacifiCorp,"Morrow County OR","9.9 MW",6,2009,Vestas,"In Service","45.7175°, -119.5022°"
"Threemile Canyon Wind Farm","Threemile Canyon","Commercial Scale Wind","John Deere Wind","John Deere Wind",PacifiCorp,"Morrow County OR","9.9 MW",6,2009,Vestas,"In Service","45.8378°, -119.7014°"
"Thunder Ranch","Thunder Ranch",,,,,"Noble County, OK","272.5 MW",109,2017,"GE Wind",,"36.5667°, -97.4592°"
"Thunder Spirit","Thunder Spirit",,,,,"Adams County, ND","107.5 MW",43,2015,Nordex,,"46.0928°, -102.5833°"
"Tillamook Offshore Wind Farm","Tillamook Offshore Wind Farm","Offshore Wind","Principle Power","Principle Power",,"Offshore from Tillamook OR","150 MW",30,,Undetermined,Proposed,"45.5269°, -124.1789°"
"Tillamook Windfloat Phase 1","Tillamook Windfloat Phase 1","Offshore Wind","Principle Power","Principle Power",,"Pacific Ocean OR","5 MW",1,,,Proposed,"45.5400°, -124.1561°"
"Timber Road II","Timber Road II","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","American Electric Power","Near Payne OH","99 MW",55,2010,Vestas,"In Service","41.0236°, -84.7172°"
"Time Factory Wind","Time Factory Wind",,,,,"Marion County, IN","0.05 MW",1,2008,Entegrity,,"39.8711°, -86.2364°"
"Tin City Long Range Radar Station Wind Farm","Tin City Long Range Radar Station","Community Wind","Tin City Long Range Radar Station","Tanadgusix Corp.","Tin City Long Range Radar Station","Nome AK","0.23 MW",1,2008,Vestas,"In Service","65.5594°, -167.9497°"
"Tippecanoe Valley School Corp","Tippecanoe Valley School Corp","Community Wind","Tippecanoe Valley School Corp","Performance Services","Tippecanoe Valley School Corp","Akron IN","0.9 MW",1,2011,PowerWind,"In Service","41.1111°, -86.0447°"
"Titan I Wind Farm","Titan I","Commercial Scale Wind","BP Alternative Energy/Clipper","BP Alternative Energy/Clipper","Northwestern Energy","South of Ree Heights SD","25 MW",10,2009,Clipper,"In Service","44.4800°, -99.2094°"
"Titan Platform","Titan Platform","Offshore Wind",,"Offshore Wind Power Systems of Texas",,"Gulf of Mexico TX","7 MW",1,,,Proposed,"27.9119°, -96.8331°"
"Tjaden Farms Wind Farm","Tjaden Farms","Community Wind","Tjaden Farms",,"Tjaden Farms","Charles City IA","0.45 MW",1,2006,Bonus,"In Service","43.1703°, -92.5894°"
"Toksook Bay","Toksook Bay",,,,,"Bethel Census Area, AK","0.4 MW",4,2010,"Northern Power Systems",,"60.5258°, -165.1114°"
"Toksook Bay Expansion","Toksook Bay Expansion",,,,,"Bethel Census Area, AK","0.1 MW",1,2010,"Northern Power Systems",,"60.5264°, -165.1169°"
"Tooele Army Depot I","Tooele Army Depot I",,,,,"Tooele County, UT","1.5 MW",1,2010,Changzhou,,"40.5006°, -112.3772°"
"Tooele Army Depot II","Tooele Army Depot II",,,,,"Tooele County, UT","1.79 MW",1,2016,"GE Wind",,"40.5019°, -112.3697°"
"Top Crop Wind Farm","Top Crop Wind Farm","Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,,"Grundy/Livingston/La Salle Counties IL","102 MW",68,2009,"GE Energy","In Service","41.1597°, -88.6375°"
"Top Crop Wind Farm (Phase II)","Top Crop Wind Farm (Phase II)","Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,,"Grundy County IL","198 MW",132,2010,"GE Energy","In Service","41.2022°, -88.5300°"
"Top of Iowa II Wind Farm","Top of Iowa II","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Worth County IA","80 MW",40,2008,Gamesa,"In Service","43.3611°, -93.2942°"
"Top of Iowa III Wind Farm","Top of Iowa III","Commercial Scale Wind","Madison Gas & Electric","Midwest Renewable Energy Projects","Madison Gas & Electric","Worth County IA","29.7 MW",18,2008,Vestas,"In Service","43.3611°, -93.2942°"
"Top of Iowa Wind Farm","Top of Iowa Wind Farm","Commercial Scale Wind",,"Zilkha Renewable/Midwest Renewable","Alliant/IES Utilities","Worth County IA","80.1 MW",89,2001,"NEG Micon","In Service","43.3611°, -93.2942°"
"Top of the World (GE)","Top of the World (GE)","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",PacifiCorp,"4 miles northeast of Glenrock WY","99 MW",66,2010,"GE Energy","In Service","42.9142°, -105.6911°"
"Top of the World (Siemens)","Top of the World (Siemens)","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",PacifiCorp,"4 miles northeast of Glenrock WY","101.2 MW",44,2010,Siemens,"In Service","42.9142°, -105.6911°"
"Town of Barnstable","Town of Barnstable","Community Wind","Town of Barnstable",,"Town of Barnstable","Barnstable MA","0.2 MW",1,2010,"Northern Power Systems","In Service","41.6639°, -70.3056°"
"Town of Richland","Town of Richland","Definition:Small Scale Wind","Sustainable Energy Development",,"Town of Richland","Richland NY","0.1 MW",1,2010,"Northern Power Systems","In Service","43.5650°, -76.0372°"
"Traer Wind","Traer Wind","Community Wind","Norsemen Wind Energy LLC","Clark Thompson","Traer Municipal Electric Utility","Traer IA","1.5 MW",1,2011,Goldwind,"In Service","42.1525°, -92.4656°"
"Traverse City Light & Power Wind Farm","Traverse City Light & Power","Community Wind","Traverse City Light & Power","Traverse City Light & Power","Traverse City Light & Power","Traverse City MI","0.6 MW",1,1996,Vestas,"In Service","44.7769°, -85.6900°"
"Trent Mesa Wind Farm","Trent Mesa Wind Farm","Commercial Scale Wind","American Electric Power","American Electric Power","TXU Electric & Gas","Nolan and Taylor Counties TX","150 MW",100,2001,"GE Energy","In Service","32.2953°, -100.1506°"
"Tres Vaqueros I Wind Farm","Tres Vaqueros I","Commercial Scale Wind",,"International Wind Companies","Pacific Gas & Electric Co","Altamont Pass CA","28.05 MW",85,,Howden,"In Service","37.7347°, -121.6519°"
"Tres Vaqueros II Wind Farm","Tres Vaqueros II","Commercial Scale Wind",,"International Wind Companies","Pacific Gas & Electric Co","Altamont Pass CA","0.75 MW",1,,Howden,"In Service","37.7347°, -121.6519°"
"Trimont Area Wind Farm","Trimont Area Wind Farm","Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Great River Energy","Southwest MN MN","100.5 MW",67,2005,"GE Energy","In Service","43.7797°, -94.8528°"
"Trinity Hills","Trinity Hills","Commercial Scale Wind","BP Wind Energy","BP Wind Energy",Merchant,"Archer and Yound Counties TX","225 MW",90,2012,Clipper,"In Service","33.4014°, -98.7114°"
"Tuana Gulch Wind Park","Tuana Gulch Wind Park","Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Twin Falls County ID","10.5 MW",7,2010,"GE Energy","In Service","42.8900°, -114.9800°"
"Tuana Springs Wind Farm","Tuana Springs Wind Farm","Commercial Scale Wind","John Deere Wind","John Deere Wind","Idaho Power","Twin Falls County ID","16.8 MW",8,2010,"Suzlon Energy Company","In Service","42.8142°, -114.9967°"
"Tucannon River","Tucannon River",,,,,"Columbia County, WA","266.8 MW",116,2014,Siemens,,"46.4664°, -118.0792°"
Tule,Tule,,,,,"San Diego County, CA","131.1 MW",57,2018,"GE Wind",,"32.7844°, -116.3392°"
Tuntutuliak,Tuntutuliak,,,,,"Bethel Census Area, AK","0.475 MW",5,2012,Windmatic,,"60.3383°, -162.6642°"
"Turkey Track Wind Farm","Turkey Track Wind Farm","Commercial Scale Wind","CanTex Energy","Wind Tex Energy LP",,"Nolan TX","169.5 MW",113,2008,"GE Energy","In Service","32.2319°, -100.0436°"
"Turtle Mountain Community College Wind Farm","Turtle Mountain Community College","Community Wind","Turtle Mountain Community College","Distributed Gen","Turtle Mountain Community College","St. John ND","0.66 MW",1,2008,Vestas,"In Service","48.8847°, -99.7519°"
"Turtle Mountain Wind Farm","Turtle Mountain","Definition:Small Scale Wind","Turtle Mountain Chippewa",,"Turtle Mountain Chippewa","Belcourt ND","0.1 MW",1,1997,"NEG Micon","In Service","48.8394°, -99.7453°"
"Tuscola Bay Wind","Tuscola Bay Wind","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Detroit Edison","Fairgrove MI","120 MW",75,2012,"GE Energy","In Service","43.5258°, -83.6531°"
"Tuscola II","Tuscola II",,,,,"Tuscola County, MI","100.3 MW",59,2013,"GE Wind",,"43.5708°, -83.5356°"
"Twin Buttes II","Twin Buttes II",,,,,"Prowers County, CO","63 MW",30,2017,Gamesa,,"37.7600°, -102.5692°"
"Twin Buttes Wind Farm","Twin Buttes","Commercial Scale Wind",,"PPM Energy Inc","Xcel Energy","Prowers County CO","75 MW",50,2007,"GE Energy","In Service","37.6742°, -102.6400°"
"Twin Groves I Wind Farm","Twin Groves I","Commercial Scale Wind",,"Horizon Wind Energy",,"McLean County IL","198 MW",120,2007,Vestas,"In Service","40.4633°, -88.6475°"
"Twin Groves II","Twin Groves II",,,,,"McLean County, IL","198 MW",120,2007,Vestas,,"40.4611°, -88.5450°"
"Twin Groves II (07) Wind Farm","Twin Groves II (07)","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Constellation Energy","McLean County IL","161.7 MW",98,2007,Vestas,"In Service","40.4633°, -88.6475°"
"Twin Groves II (08) Wind Farm","Twin Groves II (08)","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Constellation Energy","McLean County IL","36.3 MW",22,2008,Vestas,"In Service","40.4633°, -88.6475°"
"Twin Ridges","Twin Ridges","Commercial Scale Wind",EverPower,EverPower,Merchant,"Somerset County PA","139.4 MW",68,2012,REpower,"In Service","39.7611°, -78.9114°"
"Two Dot","Two Dot",,,,,"Wheatland County, MT","9.72 MW",6,2014,"GE Wind",,"46.4514°, -110.0886°"
"Two Dot wind farm","Two Dot wind farm",,,,,"Wheatland County, MT","0.455 MW",7,2005,Windmatic,,"46.4450°, -110.0933°"
"Tyler Bluff","Tyler Bluff",,,,,"Cooke County, TX","125.58 MW",52,2016,Siemens,,"33.7039°, -97.3719°"
"U.S. Marine Corp Logistics Base","U.S. Marine Corp Logistics Base","Community Wind",,,,"Barstow CA","1.5 MW",1,2009,AAER,"In Service","34.8583°, -116.9558°"
"Uilk Wind Farm","Uilk Wind Farm","Commercial Scale Wind",,"Uilk Wind Farm","Xcel Energy","West of Pipestone MN","4.5 MW",3,2009,Goldwind,"In Service","43.9947°, -96.3653°"
Unalakleet,Unalakleet,"Commercial Scale Wind","Unalakleet Valley Electric Cooperative","STG Inc.",Unalakleet,"Unalakleet AK","0.4 MW",4,2009,"Northern Power Systems","In Service","63.8758°, -160.7853°"
"University of Delaware Wind","University of Delaware Wind","Community Wind","University of Delaware","First Marine Wind","University of Delaware","Lewes DE","2 MW",1,2010,Gamesa,"In Service","38.7836°, -75.1606°"
"University of Hawaii at Maui Wind Generato","University of Hawaii at Maui Wind Generato",,,,,"Maui County, HI",,1,2012,,,"20.8914°, -156.4817°"
"University of Massachussetts Dartmouth","University of Massachussetts Dartmouth",,,,,"Bristol County, MA","0.6 MW",1,2012,Turbowinds,,"41.6267°, -71.0106°"
"University of Minnesota -- Morris Wind Farm","University of Minnesota -- Morris","Community Wind","University of Minnesota -- Morris","University of Minnesota -- Morris","University of Minnesota -- Morris","Morris MN","1.65 MW",1,2005,Vestas,"In Service","45.5861°, -95.9139°"
"University of Minnesota Morris II - PES","University of Minnesota Morris II - PES","Community Wind","University of Minnesota - Morris","University of Minnesota - Morris","University of Minnesota - Morris / Otter Tail Power","Morris MN","1.65 MW",1,2011,Vestas,"In Service","45.5897°, -95.8769°"
"University of Toledo Wind Turbine","University of Toledo Wind Turbine",,,,,"Lucas County, OH","0.08 MW",1,2009,"Wind Energy Solutions",,"41.6436°, -83.5953°"
"Unknown Addison County","Unknown Addison County",,,,,"Addison County, VT",,1,2013,,,"44.0028°, -73.3108°"
"Unknown Alameda County","Unknown Alameda County",,,,,"Alameda County, CA",,6,2011,,,"37.7325°, -122.2517°"
"Unknown Alameda County 2 NEG Micon 60KW","Unknown Alameda County 2 NEG Micon 60KW",,,,,"Alameda County, CA","7.41 MW",84,1981,"NEG Micon",,"37.7608°, -121.5778°"
"Unknown Alameda County 250KW","Unknown Alameda County 250KW",,,,,"Alameda County, CA","4.25 MW",1,1987,W.E.G.,,"37.6969°, -121.5961°"
"Unknown Alameda County 65KW","Unknown Alameda County 65KW",,,,,"Alameda County, CA","3.185 MW",48,1981,"NEG Micon",,"37.7292°, -121.5647°"
"Unknown Alameda County Bonus","Unknown Alameda County Bonus",,,,,"Alameda County, CA","33.72 MW",16,1981,Bonus,,"37.7269°, -121.6483°"
"Unknown Alameda County Enertech","Unknown Alameda County Enertech",,,,,"Alameda County, CA","5.36 MW",1,1981,Enertech,,"37.7511°, -121.6083°"
"Unknown Allegany County","Unknown Allegany County",,,,,"Allegany County, NY",,1,2017,,,"42.5200°, -78.3078°"
"Unknown Antelope County","Unknown Antelope County",,,,,"Antelope County, NE",,73,2018,,,"42.1925°, -98.1203°"
"Unknown Armstrong County","Unknown Armstrong County",,,,,"Armstrong County, TX",,77,2017,,,"34.9192°, -101.3456°"
"Unknown Atchison County","Unknown Atchison County",,,,,"Atchison County, MO",,1,2017,,,"40.4269°, -95.2017°"
"Unknown Becker County","Unknown Becker County",,,,,"Becker County, MN",,1,2013,,,"47.0892°, -95.8597°"
"Unknown Bethel Census Area","Unknown Bethel Census Area",,,,,"Bethel Census Area, AK",,9,2012,,,"59.8725°, -163.1564°"
"Unknown Black Hawk County","Unknown Black Hawk County",,,,,"Black Hawk County, IA",,1,2013,,,"42.5950°, -92.3956°"
"Unknown Brown County","Unknown Brown County",,,,,"Brown County, TX",,1,2014,,,"31.9567°, -98.8731°"
"Unknown Butler County","Unknown Butler County",,,,,"Butler County, NE",,1,2012,,,"41.2050°, -97.1114°"
"Unknown Caddo County","Unknown Caddo County",,,,,"Caddo County, OK",,10,2016,,,"35.3828°, -98.3206°"
"Unknown Cameron County","Unknown Cameron County",,,,,"Cameron County, TX",,1,2012,,,"25.9019°, -97.5125°"
"Unknown Canadian County","Unknown Canadian County",,,,,"Canadian County, OK",,5,2016,,,"35.3964°, -98.2383°"
"Unknown Cass County","Unknown Cass County",,,,,"Cass County, IA",,2,2016,,,"41.3703°, -94.7536°"
"Unknown Cayuga County","Unknown Cayuga County",,,,,"Cayuga County, NY",,4,2016,,,"42.6636°, -76.5819°"
"Unknown Cerro Gordo County","Unknown Cerro Gordo County",,,,,"Cerro Gordo County, IA",,2,2014,,,"43.1714°, -93.3506°"
"Unknown Champaign County","Unknown Champaign County",,,,,"Champaign County, IL",,1,2016,,,"40.0889°, -88.2444°"
"Unknown Chautauqua County","Unknown Chautauqua County",,,,,"Chautauqua County, NY",,44,2017,,,"42.3950°, -79.2219°"
"Unknown Chautauqua County 1","Unknown Chautauqua County 1",,,,,"Chautauqua County, NY",,1,2011,,,"42.4653°, -79.2972°"
"Unknown Chautauqua County 2","Unknown Chautauqua County 2",,,,,"Chautauqua County, NY",,1,2012,,,"42.4944°, -79.2217°"
"Unknown Chaves County","Unknown Chaves County",,,,,"Chaves County, NM",,1,,,,"33.3578°, -103.8311°"
"Unknown Cherokee County","Unknown Cherokee County",,,,,"Cherokee County, IA",,1,2015,,,"42.7694°, -95.5572°"
"Unknown Chittenden County","Unknown Chittenden County",,,,,"Chittenden County, VT",,1,,,,"44.4744°, -73.1917°"
"Unknown Clark County","Unknown Clark County",,,,,"Clark County, KS",,17,2016,,,"37.3514°, -100.0536°"
"Unknown Clinton County","Unknown Clinton County",,,,,"Clinton County, IA",,1,2013,,,"41.8200°, -90.3161°"
"Unknown Codington County","Unknown Codington County",,,,,"Codington County, SD",,1,2011,,,"44.8933°, -97.0542°"
"Unknown Collin County","Unknown Collin County",,,,,"Collin County, TX",,1,2009,,,"33.2325°, -96.5097°"
"Unknown Collins County","Unknown Collins County",,,,,"Collin County, TX",,2,2011,,,"33.2217°, -96.6169°"
"Unknown Columbia County","Unknown Columbia County",,,,,"Columbia County, WI",,1,2013,,,"43.6142°, -89.5050°"
"Unknown Concho County","Unknown Concho County",,,,,"Concho County, TX",,85,2017,,,"31.1292°, -100.0333°"
"Unknown Dakota County","Unknown Dakota County",,,,,"Dakota County, NE",,2,2015,,,"42.3808°, -96.4953°"
"Unknown DeKalb County","Unknown DeKalb County",,,,,"DeKalb County, MO",,22,2016,,,"39.7583°, -94.4303°"
"Unknown Dewey County","Unknown Dewey County",,,,,"Dewey County, OK",,21,2018,,,"36.1531°, -99.3600°"
"Unknown Dickey County","Unknown Dickey County",,,,,"Dickey County, ND",,1,2014,,,"46.0203°, -98.5242°"
"Unknown Dixon County","Unknown Dixon County",,,,,"Dixon County, NE",,73,2018,,,"42.3567°, -96.8103°"
"Unknown Doniphan County","Unknown Doniphan County",,,,,"Doniphan County, KS",,1,2014,,,"39.7831°, -94.9428°"
"Unknown Donley County","Unknown Donley County",,,,,"Donley County, TX",,2,2016,,,"35.1797°, -100.9100°"
"Unknown El Paso County","Unknown El Paso County",,,,,"El Paso County, TX",,2,2015,"GE Wind",,"31.7881°, -106.4056°"
"Unknown Elbert County","Unknown Elbert County",,,,,"Elbert County, CO",,169,2018,,,"39.1303°, -103.9314°"
"Unknown Ellis County","Unknown Ellis County",,,,,"Ellis County, OK",,9,2018,,,"36.1286°, -99.4069°"
"Unknown Erath County","Unknown Erath County",,,,,"Erath County, TX",,1,2017,,,"32.3450°, -98.3642°"
"Unknown Erie County","Unknown Erie County",,,,,"Erie County, NY",,6,2016,,,"43.0453°, -78.5517°"
"Unknown Flagler County","Unknown Flagler County",,,,,"Flagler County, FL",,1,2013,,,"29.4850°, -81.4592°"
"Unknown Ford County","Unknown Ford County",,,,,"Ford County, KS",,1,2013,,,"37.7600°, -99.9850°"
"Unknown Freeborn County","Unknown Freeborn County",,,,,"Freeborn County, MN",,1,2013,,,"43.6928°, -93.4222°"
"Unknown Garden County","Unknown Garden County",,,,,"Garden County, NE",,1,2011,,,"41.4036°, -102.3511°"
"Unknown Genesee County","Unknown Genesee County",,,,,"Genesee County, NY",,4,2016,,,"43.0739°, -78.3975°"
"Unknown Grant County","Unknown Grant County",,,,,"Grant County, MN",,1,2013,,,"45.9983°, -95.9892°"
"Unknown Gray County","Unknown Gray County",,,,,"Gray County, TX",,21,2016,,,"35.1964°, -100.9447°"
"Unknown Greeley County","Unknown Greeley County",,,,,"Greeley County, KS",,1,2012,,,"38.3928°, -101.7536°"
"Unknown Greenbrier County","Unknown Greenbrier County",,,,,"Greenbrier County, WV",,1,,,,"38.1056°, -80.5719°"
"Unknown Greene County","Unknown Greene County",,,,,"Greene County, NY",,1,2011,,,"42.3536°, -74.0436°"
"Unknown Griggs County","Unknown Griggs County",,,,,"Griggs County, ND",,2,2012,,,"47.4364°, -98.1247°"
"Unknown Grundy County","Unknown Grundy County",,,,,"Grundy County, MO",,1,2012,,,"40.0614°, -93.5761°"
"Unknown Guthrie County 2","Unknown Guthrie County 2",,,,,"Guthrie County, IA",,1,2013,,,"41.7031°, -94.4256°"
"Unknown Hansford County","Unknown Hansford County",,,,,"Hansford County, TX",,1,2013,,,"36.1975°, -101.2086°"
"Unknown Harris County","Unknown Harris County",,,,,"Harris County, TX",,2,2015,,,"29.6278°, -95.1761°"
